,Sentences
473,"The comparison of the two batches of samples showed the effectiveness and importance of sanitization in reducing the airborne SARS-CoV-2 in high risk areas.

In PUA outside the hospitals, we found the majority of the sites have undetectable or very low concentrations of SARS-CoV-2 aerosol, except for one crowd gathering site about 1 meter to the entrance of a department store with customers frequently passing through, and the other site next to Renmin Hospital where the outpatients and passengers passed by"
474,"Personal protection equipment such as wearing masks in public places or while in transit may reduce aerosol exposure and transmission.

The results from this study provide the first field report on the characteristics of airborne SARS-CoV-2 in Wuhan with important implications for the public health prevention and medical staff protection"
475,"International Committee on

Taxonomy of Viruses(ICTV)is announced that 2019-nCoV is officially classified as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)(4,5 Diagnosis is based on clinical history and laboratory and chest radiographic findings, but confirmation currently relies on nucleic acid-based assays"
476,"Since many patients are undergoing treatment, they are gradually recovering, the nucleic acid test result has become negative, so the positive rate of patients tested was only 51.9%.

It is worth noting that the new type of coronavirus antibody of the kit is against the severe acute respiratory syndrome (SARS)-like coronavirus, not only against SARS-CoV-2, but the IgG originally infected with SARS may also be positive"
477,"Early January 2020, a novel coronavirus (subsequently named SARS-CoV-2) was identified as the causal agent of the epidemic [11] "
478,"On panels B and D, numbers are scaled by Chinese age distribution and by the number reported for the highest age group (80+).

We modelled the decrease in the transmission of SARS-CoV-2 due to the progressive implementation of control measures from 20 February by using a sigmoid function for the transmission rate"
479,"Additionally, the dichotomization of infection into asymptomatic and symptomatic is a simplification of reality; the infection with SARS-CoV-2, will likely cause a gradient of symptoms in different individuals depending on age, sex and comorbidities [10] "
480,"The pneumonia caused by the 2019 novel coronavirus (SARS-CoV-2) is a highly infectious disease, which was occurred in Wuhan, Hubei Province, China in December 2019 (1)"
481,All 25 dead patients with COVID-19 tested positive for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by use of RT-PCR on samples from there respiratory tract
482,The criteria for the confirmed-diagnosis of SARS-CoV-2 was that at least one gene site was amplified to be positive for nucleocapsid protein (NP) gene and open reading frame (ORF) All rights reserved
483,The suspension was used for RT-PCR assay of SARS-CoV-2 RNA
484,"As concerning the underlying diseases, the most common one was hypertension, followed by diabetes, Heart disease, kidney disease, cerebral infarction, COPD, malignant tumors and acute pancreatitis.

The SARS-CoV-2 has been identified as one of a class of single-stranded enveloped 39 RNA viruses, belonging to the beta-coronaviruses genus of the Coronaviridae family (1)"
485,The analysis showed that both SARS-CoV-2 and the SARS-CoV shared a common ancestor that resembles the bat coronavirus HKU9-1 (8) 
486,And the severity of some cases with SARS-CoV-2 was similar to that of SARS-CoV (9)
487,"In the presents study, all the patients were died of respiratory failure, which indicated that the lung is the most common target organ of SARS-CoV-2.

Multiple organ dysfunction could also be observed, the most common organ damage outside the lungs was the heart, followed by kidney and liver"
488,"On January 7, the pathogen of this unexplained infected pneumonia was identified as a novel coronavirus (2019-nCoV) [1] , which was renamed as Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) on February 12 th , 2020"
489,"SARS-CoV-2 could causes Coronavirus disease 2019 (COVID-19), also known as SARS-CoV-2 infected Pneumonia"
490,"In the present study, we collected relevant latest epidemic data of COVID-19 and a detailed statistical analysis was carried out and the results were compared with 2003-SARS in order to explore and provide scientific reference for the prevention and control of COVID-19.

A confirmed COVID-19 patients was defined as a case with respiratory specimens that tested positive for the SARS-CoV-2 by at least one of the following three methods: isolation of SARS-CoV-2 or at least two positive results by real-time reverse-transcription-polymerase-chain-reaction (RT-PCR) assay for SARS-CoV-2 or a genetic sequence that matches SARS-CoV-2 [5] .

All rights reserved"
491,"A new coronavirus, named the Novel Coronavirus 2019 (2019-nCoV or SARS-CoV-2), has emerged and been transmitted to the human population 1 .The outbreak originating from Wuhan, China began in December of 2019 and currently has, as of Feb 23 th , 2020, over 77,000 confirmed cases globally and over 2400 fatalities 2 "
492,"/2020 To identify novel inherited mutations, we used SARS-CoV-2 strain (EPI_ISL_402125) as root to construct the phylogenetic tree for all 120 available complete genomes of the novel coronavirus from GISAID (updated February 18 th , 2020)"
493,Co-circulation of two SARS-CoV-2 genotypes from Wuhan to other regions
494,"SNPs are shown in small circles.

Major SNPs and amino acid substitutions among SARS-CoV-2 and similar coronaviruses isolated from bat and pangolin"
495,(A) Two SNP markers in SARS-CoV-2 and similar coronaviruses isolated from bat and pangolin
496,"A novel coronavirus (SARS-CoV-2) that emerged out of the city of Wuhan, China in December 2019 has already demonstrated its potential to generate explosive outbreaks in confined settings and cross borders following human mobility patterns (1) "
497,"However, the number of confirmed cases of SARS-CoV-2 infection started to increase rapidly on February 19, 2020 with a total of 1,261 confirmed COVID-19 cases including twelve deaths reported as of February 26, 2020 according to the Korea Centers for Disease Control and Prevention (KCDC) (4)"
498,"A total of 33 cases were imported while the three major clusters are composed of local cases as described in Supplementary Table S1 .

Transmission of SARS-CoV-2 in Korea has been exacerbated by amplified transmission in confined settings including a hospital and a church in the city of Daegu"
499,"Its first case is suspected to be an imported case from Wuhan, China, transmitting SARS-CoV-2 to the 6 th and 28 th confirmed cases in Korea, which resulted in secondary cases"
500,"Acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was named by the world health organization in 2019, causing COVID-19 [1] "
501,"SARS-CoV-2 is an enveloped RNA virus widely distributed in humans, other mammals and birds that cause respiratory, intestinal, liver and neurological diseases [2, 3] "
502,SARS-CoV-2 is a novel All rights reserved
503,"Common symptoms in people infected with SARS-CoV-2 virus include respiratory symptoms, fever, cough, and in more severe cases, infection can lead to pneumonia and severe acute respiratory syndrome [4, 5] "
504,"The known routes of corona virus disease-19 transmission are respiratory droplets and contact transmission, while aerosol and fecal-oral transmission require further clarification [6] .

For SARS-CoV-2 infection, early diagnosis is particularly important, not only to prolong the survival of patients, but also to ensure the safety of the population [7] "
505,"In comparison, the coronavirus antigen detection method has the advantages of rapid, convenient and the SARS-CoV antigen can be detected up to 1 day before appearance of clinical symptoms [11] .

In clinical practice, nucleic acid test and antibody assay have been employed in the diagnostic for suspected acute respiratory syndrome coronavirus 2 (SARS-CoV-2)

infections, but the use of SARS-CoV-2 antigen for diagnosis has not been successfully developed"
506,"Here, we report a fluorescence immunochromatographic assay for detecting nucleocapsid protein of SARS-CoV-2 in nasopharyngeal swab sample and urine within 10 minutes, and evaluated it's significance in diagnosis of COVID-19.

Study Design A total of 239 participants with suspected SARS-CoV-2 infection from 7 centers, including General Hospital of Central Theater Command, Wuhan N0.7 People's Hospital, Wuhan Pulmonary Hospital，Hubei maternal and child All rights reserved"
507,"the author/funder, who has granted medRxiv a license to display the preprint in perpetuity.

The copyright holder for this preprint (which was not peer-reviewed) is Participants Medical records of 239 participants in Wuhan and 20 participants in Chongqing were collected and retrospectively analyzed.

Nucleic acid test of SARS-CoV-2 Specimen collected from nasopharyngeal swab were collected from all participants"
